symbol_group_name,vmsize,filesize
_dmSoundDDF_* (library),472,360
PutDone(),468,468
_cpluaopen,468,468
_glfwExtensionSupported,468,468
b2ChainAndPolygonContact,464,464
b2ChainAndCircleContact,460,460
__glfwCreateWindowSurfaceCocoa,456,456
_vkCmdBindPipeline,452,452
MVKCmdDispatch,449,449
__glfwGetVulkanResultString,448,448
_b2Vec2_* (library),448,448
_build_* (library),448,448
_grow_* (library),448,448
dmZip,448,448
__glfwInputMonitor,444,444
_vkGetInstanceProcAddr,444,444
__glfwCreateStandardCursorCocoa,440,440
dmTransform,436,436
_strfmt_* (library),436,436
_dmHashBuffer64,432,432
mvkCompressDecompress(),432,432
MVKInflectionMap<>,432,432
_jit_* (library),432,432
_err_* (library),432,432
ResourceChunkCacheEvictMemory(),428,428
_vkCmdCopyQueryPoolResults,428,428
CancelJobInternal(),424,424
__glfwGetVideoModesCocoa,424,424
mvkWaitSemaphores(),424,424
-[CAMetalLayer(MoltenVK) privateScreenMVKImpl],420,420
_collect_* (library),420,420
_updateCursorMode,420,420
_vkCmdDispatchBase,420,420
mvkWaitForFences(),420,420
dmPPrint,412,412
_ZN24MVKShaderLibraryCompiler13newMTLLibraryEP8NSStringRKN3mvk30SPIRVToMSLConversionResultInfoE_* (library),412,412
MVKShaderResourceBinding,412,412
-[GLFWContentView performDragOperation:],408,408
_ZN28MVKTimelineSemaphoreMTLEvent12registerWaitEP14MVKFenceSitterPK19VkSemaphoreWaitInfoj_* (library),408,408
spvPushOperandTypes(),408,408
MVKCmdSetSampleLocations,403,403
_vkCmdDrawIndexed,400,400
_vkCmdPushDescriptorSetKHR,400,400
_vkCmdSetStencilOp,400,400
_dmMeshDDF_* (library),400,296
_loop_* (library),392,392
_vkCmdDraw,392,392
_vkCmdDrawIndexedIndirect,392,392
_vkCmdDrawIndirect,392,392
_vkCmdFillBuffer,392,392
_vkCmdPushDescriptorSetWithTemplateKHR,392,392
_vkCmdUpdateBuffer,392,392
btConeTwistConstraint,392,392
_zdist_* (library),392,392
btNullPairCache,392,392
MVKTraceVulkanCallStartImpl(),388,388
_JobSystemSetParent,388,388
__glfwChooseVideoMode,388,388
_vkCmdDispatch,388,388
_JobSystemDestroy,384,384
__glfwSetCursorPosCocoa,384,384
_func,384,384
mvkGetAvailableMTLDevicesArray(),384,384
mvkVkDescriptorTypeName(),380,380
_argv2ctype,376,376
_vkCmdBeginQuery,376,376
_vkCmdBindIndexBuffer,376,376
_vkCmdResetQueryPool,376,376
_vkCmdWriteTimestamp,376,376
_vkCmdWriteTimestamp2,376,376
mvkGetVulkanVersionString(),376,376
spvExtInstImportTypeGet(),376,376
MVKDeviceObjectPool<>,374,374
_glfwInit,372,372
_terminate,372,372
_JobSystemPushJob,368,368
_vkCmdDispatchIndirect,368,368
_vkCmdEndQuery,368,368
_vkCmdResetEvent,368,368
_vkCmdResetEvent2,368,368
_vkCmdSetEvent,368,368
_vkCmdSetEvent2,368,368
_vkCmdSetStencilCompareMask,368,368
_vkCmdSetStencilReference,368,368
_vkCmdSetStencilWriteMask,368,368
MVKGPUAddressableBuffersCommandEncoderState,366,366
__glfwDestroyWindowCocoa,364,364
__glfwSetWindowMonitorNull,364,364
ResourceChunkCacheEvictPathHash(),360,360
__glfwGetScancodeNameCocoa,360,360
_top_* (library),360,360
_dmHashClone32,356,356
_var_* (library),356,356
_vkCmdBeginDebugUtilsLabelEXT,356,356
_vkCmdDebugMarkerBeginEXT,356,356
_vkCmdDebugMarkerInsertEXT,356,356
_vkCmdInsertDebugUtilsLabelEXT,356,356
_vkCmdNextSubpass2,356,356
stbtt_GetGlyphBox(),356,356
__glfwInitOSMesa,352,352
_optset,352,352
_searchpath,352,352
ProcessOneJob(),348,348
_dmHashClone64,348,348
MVKCmdDebugMarkerInsert,346,346
_find_* (library),344,344
_vkCmdDebugMarkerEndEXT,344,344
_vkCmdEndDebugUtilsLabelEXT,344,344
ResourceChunkCacheGet(),340,340
__glfwInitNull,340,340
_vkCmdEndRenderPass2,340,340
_vkCmdNextSubpass,340,340
_vkCmdSetSampleLocationsEXT,340,340
mvkVkComponentMappingsMatch(),340,340
