symbol_group_name,vmsize,filesize
ANativeActivity_onCreate,887,936
btAngularLimit,887,1153
btBoxBoxDetector,884,1268
floor1_inverse2,879,919
dmHashRelease32,876,916
dmHashRelease64,876,916
b2ChainAndCircleContact,870,1263
b2GridAndCircleContact,865,1253
capsuleCapsuleDistance(),864,955
_Animation_* (library),862,1345
_handshake_* (library),861,904
JobSystemCreate,861,901
jc,859,974
b2CollidePolygonAndCircle(),857,977
PushCommand(),848,1062
PushSegment(),848,964
ResourceChunkCacheEvictMemory(),848,928
engine_main(),842,886
_profile_* (library),841,980
_cjson_* (library),840,922
_build_* (library),839,1003
dmHashBuffer64,833,872
_glfwInput,832,35
b2ChainAndPolygonContact,831,1229
_Texture_* (library),829,1358
_PlaySound_* (library),827,1436
_SoundDesc_* (library),827,1387
glfwAndroidFlushEvents,826,873
PutDone(),822,896
FontGetOutlineBounds(),817,892
_state_* (library),813,1111
_CameraDesc_* (library),812,1248
dmURI,809,921
propagatemark,805,843
_CollectionInstanceDesc_* (library),801,1203
_CollectionDesc_* (library),801,1176
optget,800,855
btHeightfieldTerrainShape,799,908
CancelJobInternal(),799,866
_ComponentDesc_* (library),796,1078
_StreamDesc_* (library),794,981
_traverse_* (library),794,920
BuildSimpleContours(),787,896
mgf_mask,787,820
operator new(),784,962
b2EdgeSeparation(),784,870
bit_funcs,784,818
SelectAndPopJob(),777,852
btConcaveShape,776,1126
dmPPrint,767,980
[section .rodata],765,765
_ext_* (library),760,802
b2FindMaxSeparation(),759,849
BlurBitmapChannel(),756,810
ExtendCubicAxisBounds(),753,843
intersectRectQuad2(),751,805
_Bone_* (library),751,965
cp_declarator,745,783
[section .init_array],744,744
insertleaf(),741,805
glfwAndroidHandleInput,731,778
expr_primary,730,767
TextLayout,729,817
_glfwAndroidPlatformSwapBuffers,727,783
_TextureTransform_* (library),726,1276
_TileCell_* (library),726,1233
opt_setmembership,725,767
socket_gaistrerror,724,767
_TextObjectUnhovered_* (library),724,1153
_TextObjectClicked_* (library),724,1141
_TextObjectHovered_* (library),724,1141
_ContactPoint_* (library),720,849
glfwAndroidConnectJoystick,719,770
CreateGLSurfaceForWindow,717,766
_Iridescence_* (library),716,1147
lj_bcread,715,749
res_unpack,711,746
_SetCamera_* (library),711,1067
_MeshDesc_* (library),711,1230
_packed_* (library),710,761
_glfwAndroidPlatformGetWindowRefreshRate,709,774
_Cubemap_* (library),708,1186
_Reboot_* (library),708,1183
_ResourceEntry_* (library),703,979
_EmbeddedComponentDesc_* (library),702,1090
b2CircleContact,701,1054
_cur_* (library),700,741
ParseObjectDimension(),699,769
btClosestNotMeConvexResultCallback,697,1055
_emutls_* (library),696,926
_Sampler_* (library),694,1115
_vmevent_* (library),691,774
b2PolygonAndCircleContact,689,1092
touchById,685,719
GIM_ShapeRetriever,683,1458
_YCbCr_* (library),682,748
b2EdgeAndCircleContact,677,1065
InitializeGlyphRenderData(),676,775
_ctx_* (library),675,1074
FontTrueTypeGetGlyphIndex(),669,739
lex_number,667,702
JobSystemDestroy,663,704
JobSystemPushJob,662,703
poly1305_process,662,703
b2PolygonContact,662,1020
_prng_* (library),662,779
parse_body,655,690
_Value_* (library),654,884
FindCurveCrossingX(),649,716
FontOutlineBoundsQuadraticTo(),648,746
AppendOutline(),647,725
[LOAD #1 [RX]],647,647
_classify_* (library),645,733
bit_tohex,642,676
b2EdgeAndPolygonContact,639,1032
ll_loadfunc,636,672
_bisect_* (library),632,681
decode_map,632,667
_TileLayer_* (library),627,1022
PointVariableCurveDistanceSquaredFromRoots(),625,750
_SetGridShapeHull_* (library),624,761
_StyleEffect_* (library),624,749
_RigAnimation_* (library),624,745
_MeshSet_* (library),624,735
btEmptyAlgorithm,624,1563
btMatrix3x3,623,844
dmPoolAllocator,622,805
ov_bitrate,619,654
btAxisSweep3,618,881
LZ4_loadDictHC,617,656
_bc_* (library),616,685
_Create_* (library),614,859
global_connect,612,651
_PbrMetallicRoughness_* (library),610,914
_Clearcoat_* (library),610,870
_IK_* (library),607,821
_LuaModule_* (library),606,923
_PbrSpecularGlossiness_* (library),605,830
_gxx_* (library),603,700
_de_* (library),602,711
final_gl,600,633
_RayCastResponse_* (library),600,735
_InputBinding_* (library),600,725
_glfwAndroidHandleCommand,598,648
ProcessOneJob(),595,658
_unw_* (library),595,1049
floor0_inverse1,592,632
_glfwPlatformGetJoystickButtons,591,647
TextLayoutGetDecorationGeometry(),590,682
oggpack_look,589,626
GetCFFGlyphForStandardCode(),581,654
glfwAndroidUpdateDpad,581,627
_width_* (library),580,629
_LuaSource_* (library),578,757
_crypt_* (library),578,802
_glfwGetAndroidCmdName,572,619
_glfwPlatformInit,572,614
FontLoadFromMemoryTTF(),570,628
btSingleContactCallback,569,763
btGImpactTriangleCallback,569,770
err_unwind,568,603
_TextureFormatAlternative_* (library),561,969
btVec3PointSegmentDist2(),555,628
FontTrueTypeGetGlyphBox(),554,633
_TileGrid_* (library),550,888
ParsePrivate(),547,625
lex_longstring,546,585
glfwGetTouch,544,581
dmTrigLookup,544,653
[section .dynamic],544,544
FontCreateGlyphVertexDeclaration(),542,635
_glfwPlatformTerminate,539,586
chacha20_block,538,577
_check_* (library),535,616
_PlatformProfile_* (library),530,744
_Struct_* (library),530,855
_Vector4WOne_* (library),524,860
_Vector3One_* (library),524,869
_Vector4One_* (library),524,869
_Vector3_* (library),524,831
_Vector4_* (library),524,831
_Point3_* (library),524,825
_Quat_* (library),524,818
BuildDistancePolynomial(),520,611
bcemit_store,520,557
_glfwPlatformGetJoystickPos,519,571
_ManifestHeader_* (library),519,939
GetOrCreateNamedStyle(),515,584
_TextureView_* (library),514,766
_Volume_* (library),514,762
_aead_* (library),513,604
vwin256,512,544
_RigScene_* (library),512,885
dmPhysicsDDF,512,1748
ResourcePreloader,511,613
_ip6_* (library),510,556
_Specular_* (library),509,693
_Sheen_* (library),509,685
_PropertyDeclarationEntry_* (library),506,746
_ManifestData_* (library),506,729
_grow_* (library),505,572
_drbg_* (library),505,554
_CollisionResponse_* (library),504,643
_GamepadMapEntry_* (library),504,635
parse_assignment,503,544
bcread_fill,501,537
glfwWaitForAndroidWindow,499,548
_EventKey_* (library),499,782
unwind_phase2,497,535
b2Draw,493,739
collect_fd,488,523
TextLayoutDecorationRequiresGlyphSegments(),487,588
operator delete(),486,747
operator delete[](),486,747
FontCollectionSetNamedStyleMarkup(),484,582
DictGet(),484,528
_GamepadMapRuntime_* (library),484,768
_GamepadMap_* (library),484,737
_glfwAndroidGetSafeAreaInsets,482,536
meth_receivefrom,481,522
_terminate_* (library),480,539
_TriggerResponse_* (library),480,615
_g_* (library),478,559
ResourceChunkCacheEvictPathHash(),474,556
CreateGLSurface,474,514
FontGetDecorationSegment(),468,578
_free_* (library),468,621
__float128,467,653
__int128,467,653
bool,467,653
char,467,653
double,467,653
float,467,653
int,467,653
long,467,653
long long,467,653
short,467,653
signed char,467,653
unsigned __int128,467,653
unsigned char,467,653
unsigned int,467,653
unsigned long,467,653
unsigned long long,467,653
unsigned short,467,653
void,467,653
wchar_t,467,653
glfwCreateJoystickDeviceGuid,467,520
parse_args,467,502
PointCurveDistanceSquaredFromRoots(),466,570
ctype_preptype,462,501
meth_sendto,461,497
GetSubroutine(),458,544
_token_* (library),456,501
_ContactPointEvent_* (library),456,595
_RequestRayCast_* (library),456,589
_fff_* (library),453,1107
JobSystemCreateJob,449,492
ConfigFileGetInt,448,489
oggbyte_read4,447,485
_alg_* (library),446,497
btDbvtTreeCollider,445,691
ConfigFileGetFloat,444,487
oggbyte_set4,442,479
TestInternalObjects(),441,548
dmStrError(),441,484
fpconv_strtod,440,478
ParseIndex(),437,505
meth_accept,437,473
_ManifestFile_* (library),437,642
_SplinePoint_* (library),437,634
removeleaf(),436,497
meth_receive,434,495
socket_sendto,434,472
_HttpRequestProgress_* (library),434,641
_cstream_* (library),434,531
glfwEnable,433,468
_SetConstantParticleFX_* (library),432,585
cp_errmsg,429,463
inet_trybind,428,465
socket_send,428,464
debug_localname,427,467
socket_recvfrom,427,467
_glfwAndroidPlatformOpenWindow,425,480
ctoknames,424,458
_ConvexHull_* (library),424,768
_array_* (library),423,463
_push_* (library),422,459
_glfwParseGLVersion,420,464
_StartRecord_* (library),420,756
inet_pushresolved,418,460
_packet_* (library),416,507
operator new[](),414,592
_index_* (library),414,453
_CollectionFactoryDesc_* (library),414,834
_FactoryDesc_* (library),414,784
socket_connect,411,450
socket_recv,411,447
IndexGet(),410,490
_ComponentPropertyDesc_* (library),410,640
_PrototypeDesc_* (library),410,632
_DrawDebugText_* (library),410,606
_ComputeDesc_* (library),410,611
b2ContactListener,410,875
b2Timer,410,590
_ktabk_* (library),408,458
_ScriptMessage_* (library),408,545
_AnimationTrack_* (library),408,533
_DrawLine_* (library),408,527
_Transform_* (library),408,519
gola_fixup,407,442
btSolverBody,405,481
auxiliar_tostring,405,447
_call_* (library),404,446
_ctr_* (library),398,455
searchpath,397,432
FontLoadFromMemory(),396,450
b2DistanceProxy,394,455
_PlayAnimation_* (library),394,683
_callback_* (library),393,434
expr_toreg,393,428
dmStrTok(),392,436
FontCollectionSetNamedStyle(),391,499
_Cue_* (library),391,626
btSingleSweepCallback,390,578
_malloc_* (library),389,542
_PropertyDesc_* (library),388,662
FontTrueTypeGetGlyphOutline(),384,470
_struct_* (library),384,423
_SetViewProjection_* (library),384,529
_TriggerEvent_* (library),384,513
_ResetConstant_* (library),384,648
_toreg_* (library),382,426
strscan_hex,382,418
btSingleRayCallback,381,563
SupportVertexCallback,381,570
_decode_* (library),379,447
_select_* (library),379,419
mmap_probe,379,414
FontCollectionAddFont(),378,451
glfwExtensionSupported,378,425
btConvexCast,378,868
JobThread(),376,460
_base_* (library),376,464
glfwGetWindowParam,373,416
ExtensionRegister,373,415
_lookup_* (library),373,409
sprintf(),372,458
ConvertPolynomialToBernstein(),371,435
_pkcs_* (library),370,411
_dynamic_* (library),369,408
meth_send,368,426
_mem_* (library),366,479
_glfwShowKeyboard,364,406
_std_* (library),363,436
_cont_* (library),363,669
_gather_* (library),362,410
_DisplayProfileQualifier_* (library),362,597
ResourceChunkCacheDestroy(),360,435
meth_setpeername,360,401
_Collision_* (library),360,483
_sw_* (library),358,393
BroadphaseAabbTester,358,536
BroadphaseRayTester,358,533
FontGetDecorationFaceColors(),357,469
