VERSION,arm64-darwin,armv7-android,armv7-darwin,darwin,js-web,wasm-web,linux,win32,x86_64-darwin,x86_64-linux,armv7-android,arm64-android
1.2.131,4402040,10878544,4049772,5086084,5002172,0,19176952,4840448,5452576,24489560,11215151,0
1.2.132,4250288,10770595,3852308,4833976,5002214,0,19213216,4840448,5194284,24615064,11109362,0
1.2.133,4222880,10766669,3810240,4794576,4988784,0,19191700,4848640,5158364,24597992,11105602,0
1.2.134,4187956,10210631,3827880,4794544,5135612,0,15138400,4786176,5109648,19131024,10547381,0
1.2.135,4187960,10215667,3827884,4797008,5138227,0,15147084,4786688,5113776,19136136,10550772,0
1.2.136,4217168,13716416,3871116,4783984,5129445,0,15135676,4783616,5095584,19117640,14052664,0
1.2.137,4217364,13719736,3871292,0,5133516,0,15140916,4785664,5095784,19123520,14056092,0
1.2.138,4235380,13725998,3873052,0,5152452,0,15161028,4794368,5106496,19149872,14063179,0
1.2.139,4157072,13588745,3812324,0,4509371,0,14848700,4725248,4999968,18769144,13928279,0
1.2.140,4157072,13589280,3812324,0,4509531,0,14849036,4725248,4999968,18769192,13928615,0
1.2.141,4155152,13579954,3810604,0,4511122,2044857,14880796,4726272,5004800,18809608,13919339,0
1.2.142,4155368,13569629,3811940,0,4508009,2072237,14853048,4725248,5010888,18776440,13909316,0
1.2.143,4157916,13573817,3813152,0,4510650,2074281,14856236,4725760,5012192,18780008,13912154,0
1.2.144,4174688,13798679,3813524,0,4522266,2080727,14867268,4732928,5016920,18792704,14190754,0
1.2.145,4192936,13828119,3831752,0,4548196,2095589,15281952,4988416,5732288,19361072,14217724,0
1.2.146,4236432,13842874,3874212,0,4568598,2112308,0,5029888,5789064,19522600,14234333,0
1.2.147,4280980,13863720,3889584,0,4586079,2121248,0,5036032,5836320,19565120,14260217,0
1.2.148,4315968,13850133,3923184,0,4456904,2111782,0,5042688,5872208,19502504,14322310,0
1.2.149,2714136,13949944,2491860,0,4473530,2119371,0,5052928,4303952,4408704,14422910,0
1.2.150,2714152,13961401,2491828,0,4472686,2118739,0,5052928,4304112,4412960,14432644,0
1.2.151,2714192,13965207,2491988,0,4483955,2125447,0,5057536,4308216,4413120,14436789,0
1.2.152,2963576,13974807,2508684,0,4484085,2125524,0,5105152,4362392,4736976,14447417,0
1.2.153,2998188,0,2543268,0,4484884,2126105,0,5166592,4418196,4802664,14503494,15336225
1.2.154,2998196,0,2543276,0,4484884,2126105,0,5167104,4418204,4802664,14503442,15234145
1.2.155,2484160,0,2126644,0,4454545,2109217,0,5142528,4418220,4802664,4488935,4711873
1.2.156,2517304,0,2159980,0,4577972,2160399,0,5151232,4434700,4814952,4493928,4719570
1.2.157,2533704,0,2160008,0,4586788,2163321,0,5153792,4439512,4819176,4495473,4721146
1.2.158,2533704,0,2160008,0,4587229,2163538,0,5153792,4439512,4819176,4495731,4721442
1.2.159,2550088,0,2160008,0,4587071,2163497,0,5175296,4451800,4835944,4495880,4721556
1.2.160,2533052,0,2159368,0,4588789,2163959,0,5149696,4451768,4840040,4153781,4378796
1.2.161,2533076,0,2159392,0,4589473,2165223,0,5157376,4455896,4844168,4191436,4284660
1.2.162,2648756,0,2258708,0,4810892,2285557,0,5334528,4633400,5021096,2000178,2101232
