symbol_group_name,vmsize,filesize
dmImage,1240,1583
_lex_* (library),1240,1675
_SpriteDesc_* (library),1237,2175
btTriangleMeshShape,1236,2023
snprintf(),1224,1672
_write_* (library),1224,1444
dmZlib,1220,1405
_calc_* (library),1220,1698
DebugDrawcallback,1208,1927
func,1200,1613
b2EdgeShape,1200,2042
udp_methods,1168,1276
Layout<>(),1160,1255
btCollisionShape,1160,1905
btPerturbedContactResult,1156,1429
_Unwind_* (library),1156,1852
ciphersuite_definitions,1152,1224
_ContactPointResponse_* (library),1152,1393
cullPoints2(),1148,1219
_obj_* (library),1140,1365
LogInternal,1136,1220
_except_* (library),1132,1132
btPairCachingGhostObject,1128,1687
dmResourceProviderFile,1128,1964
b2CircleShape,1120,1896
_HttpRequest_* (library),1114,1782
_RenderTargetDesc_* (library),1114,2024
_add_* (library),1112,1234
_rsassa_* (library),1096,1278
_normalize_* (library),1088,1291
global_select,1084,1194
mapping_inverse,1084,1148
tokennames,1064,1147
_idct_* (library),1064,1139
match,1052,1106
btGjkConvexCast,1052,1546
_compute_* (library),1044,1258
_RenderPrototypeDesc_* (library),1042,2252
btGhostObject,1036,1743
_PropertyDeclarations_* (library),1034,1392
_width_* (library),1032,1105
_aes_* (library),1032,1354
_md_* (library),1024,1131
_fromdB_* (library),1024,1092
crc_lookup,1024,1083
vwin512,1024,1056
FT0,1024,52
FT1,1024,52
FT2,1024,52
FT3,1024,52
RT0,1024,100
RT1,1024,52
RT2,1024,52
RT3,1024,52
final_gl,1004,1061
_ModelDesc_* (library),1000,1953
_SpriteGeometry_* (library),999,1476
TextLayoutLegacyCreate(),996,1126
dmPath,996,1246
_serialize_* (library),996,1411
glfwDisable,992,1052
_CollisionShape_* (library),986,1481
_ssl_* (library),984,1342
glfwAndroidHandleInput,980,1075
_JNIEnv,980,1719
[section .data.rel.ro],976,976
_Model_* (library),973,1607
dmCrypt,972,1246
dmMutex,972,1442
_Modifier_* (library),970,1520
global_data,968,108
dmHashRelease64,964,1028
dmHashClone32,952,1038
_substruct_* (library),948,1085
dmHashClone64,944,1006
_sign_* (library),944,1146
dmHashUpdateBuffer64,932,1025
_ecp_* (library),928,1158
_unw_* (library),928,1526
dmGameSystemDDF,928,3908
dmHashBuffer32,920,1007
dmHashUpdateBuffer32,916,985
_TextureSetAnimation_* (library),910,1655
auxsort,908,964
_luaJIT_* (library),900,1185
_EmbeddedInstanceDesc_* (library),899,1571
_InstanceDesc_* (library),899,1474
K,896,994
dmFileDescriptor,896,1523
_HttpResponse_* (library),892,1310
_build_* (library),880,1116
btTriangleRaycastCallback,876,1271
_state_* (library),864,1330
_Animation_* (library),862,1513
floor1_inverse1,852,940
CProfileManager,852,1428
b2WorldManifold,844,960
_glfwAndroidHandleCommand,836,910
dmHashReverseErase64,832,925
_glfwInput,832,59
_Texture_* (library),829,1574
_PlaySound_* (library),827,1676
_SoundDesc_* (library),827,1627
dmAndroid,824,1428
_buffer_* (library),824,1025
_prf_* (library),820,1010
_verify_* (library),820,1015
_packed_* (library),812,887
_CameraDesc_* (library),812,1392
dmHashInit32,808,893
dmHashInit64,808,869
_traverse_* (library),808,1006
_unused_* (library),804,876
_CollectionInstanceDesc_* (library),801,1353
_CollectionDesc_* (library),801,1296
optget,800,927
_ComponentDesc_* (library),796,1174
_StreamDesc_* (library),794,1101
bit_funcs,784,842
GetGlyphIndexTTF(),780,857
cp_declarator,780,842
propagatemark,780,842
_vmeta_* (library),772,2300
dmTransform,764,976
dmThread,764,1226
_profile_* (library),764,999
_ext_* (library),760,850
btTriangleConvexcastCallback,760,1142
btClosestNotMeConvexResultCallback,752,1254
_Bone_* (library),751,1133
tremolo_mergesort,748,814
_unroll_* (library),748,812
dmHashBuffer64,748,811
dmZip,748,1761
_initialize_* (library),744,839
