symbol_group_name,vmsize,filesize
_SpriteDesc_* (library),1237,2127
snprintf(),1224,1648
_write_* (library),1224,1444
dmZlib,1220,1405
_calc_* (library),1220,1674
_RenderTargetDesc_* (library),1215,2205
btCollisionShape,1208,2066
func,1200,1541
b2EdgeShape,1200,2042
_luaJIT_* (library),1179,1596
_Model_* (library),1175,1953
_ModelDesc_* (library),1170,2184
udp_methods,1168,1300
Layout<>(),1168,1263
_Unwind_* (library),1156,1828
ciphersuite_definitions,1152,1272
_ContactPointResponse_* (library),1152,1369
cullPoints2(),1144,1215
ResolveGlyphLayerRenderData(),1140,1305
_obj_* (library),1140,1413
_except_* (library),1132,1132
_PropertyDeclarations_* (library),1130,1518
btTetrahedronShapeEx,1128,1281
dmResourceProviderFile,1128,1868
mapping_inverse,1124,1188
btPerturbedContactResult,1120,1393
b2CircleShape,1120,1896
_add_* (library),1112,1234
_compressHC2_* (library),1112,1570
TextLayoutAdoptResolvedMarkup(),1108,1242
IsBoundaryPoint(),1104,1207
_rsassa_* (library),1096,1254
_buffer_* (library),1095,1407
_normalize_* (library),1088,1291
dmHashClone32,1086,1148
global_select,1084,1170
dmHashClone64,1078,1140
_fromdB_* (library),1068,1160
tokennames,1064,1147
_idct_* (library),1064,1139
crc_lookup,1059,1142
btGjkConvexCast,1056,1574
match,1052,1106
_compute_* (library),1044,1258
_RenderPrototypeDesc_* (library),1042,2252
_comment_* (library),1037,1342
LogInternal,1036,1096
btGhostObject,1036,1671
_aes_* (library),1032,1378
btAngularLimit,1028,1414
_md_* (library),1024,1131
vwin512,1024,1104
FT0,1024,52
FT1,1024,52
FT2,1024,52
FT3,1024,52
RT0,1024,52
RT1,1024,52
RT2,1024,52
RT3,1024,76
FontTrueTypeCreate(),1020,1096
_plane_* (library),1008,1220
_SpriteGeometry_* (library),999,1500
dmPath,996,1222
_serialize_* (library),996,1411
glfwDisable,992,1052
_Property_* (library),992,1423
_ssl_* (library),984,1366
_JNIEnv,980,1719
dmCrypt,972,1325
dmMutex,972,1466
_Modifier_* (library),970,1544
global_data,968,108
dmHashBuffer32,963,1026
dmGameSystemDDF,960,4004
btAABB,948,1069
_substruct_* (library),948,1085
_sign_* (library),944,1146
_ecp_* (library),928,1158
_unw_* (library),928,1550
TextLayoutCompileStyleFragment(),920,1089
_TextureSetAnimation_* (library),910,1655
auxsort,908,964
_InstanceDesc_* (library),899,1522
_EmbeddedInstanceDesc_* (library),899,1547
K,896,994
FindPolynomialRootPair(),896,981
floor1_inverse1,892,956
_HttpResponse_* (library),892,1262
InitCFF1Font(),884,1002
_build_* (library),880,1140
dmHashReverseErase32,877,970
dmHashReverseErase64,877,946
btTriangleRaycastCallback,876,1271
Blend(),872,951
dmAndroid,868,1516
FontGenerateGlyph(),864,974
_state_* (library),864,1330
_Animation_* (library),862,1561
b2WorldManifold,844,960
InitCFF2Font(),836,930
_glfwInput,832,59
_Texture_* (library),829,1574
_PlaySound_* (library),827,1652
_SoundDesc_* (library),827,1603
_prf_* (library),820,1034
_verify_* (library),820,1015
_packed_* (library),812,887
_CameraDesc_* (library),812,1416
dmHashReverse32Alloc(),810,924
dmHashReverse64Alloc(),810,900
_traverse_* (library),808,1006
_unused_* (library),804,876
_CollectionInstanceDesc_* (library),801,1371
_CollectionDesc_* (library),801,1296
optget,800,927
_ComponentDesc_* (library),796,1222
_StreamDesc_* (library),794,1053
PushText(),792,883
dmHashBuffer64,791,854
_unroll_* (library),788,852
bit_funcs,784,842
btConcaveShape,784,1278
btTriangleConvexcastCallback,784,1190
propagatemark,780,866
cp_declarator,780,842
_vmeta_* (library),772,2300
dmTransform,764,1024
dmThread,764,1250
_profile_* (library),764,975
_ext_* (library),760,826
TextLayoutGetObjectPosition(),756,925
[section .init_array],752,752
_Bone_* (library),751,1061
_zbuild_* (library),748,843
glfwAndroidHandleInput,748,819
tremolo_mergesort,748,814
btBridgedManifoldResult,748,1042
operator new(),746,1044
ANativeActivity_onCreate,745,818
_initialize_* (library),744,815
dmURI,744,904
insertleaf(),736,848
glfwAndroidFlushEvents,736,807
dmHashReverse32,732,796
dmHashReverse64,732,796
TextLayoutFinalizeLineBaselines(),728,846
btGjkEpaPenetrationDepthSolver,728,1095
_TextureTransform_* (library),726,1492
_TileCell_* (library),726,1449
_TextObjectUnhovered_* (library),724,1328
_TextObjectClicked_* (library),724,1306
_TextObjectHovered_* (library),724,1292
lj_bcread,720,778
_ContactPoint_* (library),720,897
_handshake_* (library),716,783
_Iridescence_* (library),716,1315
_emutls_* (library),713,1015
expr_primary,712,821
_MeshDesc_* (library),711,1446
_SetCamera_* (library),711,1187
_Cubemap_* (library),708,1402
_Reboot_* (library),708,1375
_gl_* (library),704,1050
_ResourceEntry_* (library),703,1075
_EmbeddedComponentDesc_* (library),702,1216
FontTrueTypeGetGlyphIndex(),696,814
b2GridAndPolygonContact,696,1233
_Sampler_* (library),694,1331
dmHashInit32,693,754
dmHashInit64,693,754
b2GridAndCircleContact,692,1200
b2StackAllocator,692,1099
b2Mat33,692,1011
btBoxBoxDetector,688,1216
BuildSimpleContours(),684,817
GIM_ShapeRetriever,684,1699
PushCommand(),676,938
addInputEvents,676,739
btClosestNotMeConvexResultCallback,676,1154
GetGlyphTTF(),672,775
res_unpack,671,754
JobSystemSetParent,668,735
lex_number,668,727
_cjson_* (library),668,846
parse_body,664,723
b2ChainAndPolygonContact,664,1182
b2CollidePolygonAndCircle(),660,804
b2ChainAndCircleContact,660,1173
_ctx_* (library),660,1299
dmHashRelease32,656,720
dmHashRelease64,656,720
_Value_* (library),654,1004
glfwAndroidUpdateDpad,652,722
JobSystemCreate,648,712
dmConditionVariable,648,1213
b2PositionSolverManifold,644,784
__udivmodti4,640,701
b2CollideEdgeAndCircle(),636,774
jc,636,799
btEmptyAlgorithm,636,1791
TextLayoutInitializeObjectStyles(),632,730
btUnionFind,632,1013
ParseObjectDimension(),628,722
decode_map,628,687
_prng_* (library),628,817
_TileLayer_* (library),627,1166
PutDone(),624,722
_MeshSet_* (library),624,821
_RigAnimation_* (library),624,817
_SetGridShapeHull_* (library),624,833
_StyleEffect_* (library),624,821
oggpack_look,621,682
_bc_* (library),616,709
_Create_* (library),614,955
BlurBitmapChannel(),612,690
_PbrMetallicRoughness_* (library),610,1010
_Clearcoat_* (library),610,966
ResourceChunkCachePut(),608,726
_IK_* (library),607,941
_LuaModule_* (library),606,1067
_PbrSpecularGlossiness_* (library),605,926
_drbg_* (library),604,701
btAxisSweep3,604,963
capsuleCapsuleDistance(),600,739
_InputBinding_* (library),600,797
_RayCastResponse_* (library),600,783
_vmevent_* (library),600,731
[LOAD #1 [RX]],598,598
bcemit_store,596,657
_gxx_* (library),589,734
_alg_* (library),588,687
lex_longstring,588,651
_aead_* (library),580,719
_LuaSource_* (library),578,829
InitializeGlyphRenderData(),576,699
_classify_* (library),576,646
btMatrix3x3,576,893
PushSegment(),572,712
intersectRectQuad2(),572,650
ll_loadfunc,572,632
floor1_inverse2,568,632
mgf_mask,564,621
_TextureFormatAlternative_* (library),561,1113
b2FindMaxSeparation(),560,674
global_connect,560,647
_bisect_* (library),560,633
btComputeSupport(),556,687
_check_* (library),556,685
GetCFFGlyphForStandardCode(),552,649
_crypt_* (library),552,896
_TileGrid_* (library),550,1032
btHeightfieldTerrainShape,548,681
_glfwAndroidPlatformGetWindowRefreshRate,548,637
bit_tohex,548,606
floor0_inverse1,544,608
dmTrigLookup,544,701
[section .dynamic],544,544
ExtendCubicAxisBounds(),536,650
engine_main(),536,628
dmPPrint,536,821
FontTrueTypeGetGlyphBox(),532,635
parse_assignment,532,597
_PlatformProfile_* (library),530,840
_Struct_* (library),530,975
SelectAndPopJob(),528,627
_de_* (library),528,685
_Vector3One_* (library),524,1043
_Vector4One_* (library),524,1037
_Vector4WOne_* (library),524,1004
_Vector3_* (library),524,975
_Vector4_* (library),524,999
_Point3_* (library),524,969
_Quat_* (library),524,974
FontOutlineBoundsQuadraticTo(),520,666
CancelJobInternal(),520,611
b2EdgeAndPolygonContact,520,1033
b2PolygonContact,520,998
_ManifestHeader_* (library),519,1083
AppendOutline(),516,618
glfwAndroidConnectJoystick,516,591
JobSystemPushJob,516,581
b2PolygonAndCircleContact,516,1039
b2EdgeAndCircleContact,516,1024
_TextureView_* (library),514,886
_Volume_* (library),514,858
vwin256,512,544
_RigScene_* (library),512,1071
b2CircleContact,512,1009
dmPhysicsDDF,512,2132
_Specular_* (library),509,789
_Sheen_* (library),509,757
btTransform,508,794
CreateGLSurfaceForWindow,508,581
err_unwind,508,567
b2Draw,508,898
ResourcePreloader,508,658
_PropertyDeclarationEntry_* (library),506,818
_ManifestData_* (library),506,801
operator delete[](),505,940
operator delete(),505,910
DictGet(),504,596
_glfwAndroidHandleCommand,504,578
_CollisionResponse_* (library),504,715
_GamepadMapEntry_* (library),504,707
btGImpactTriangleCallback,500,773
_EventKey_* (library),499,902
ResourceChunkCacheEvictMemory(),488,592
bcread_fill,484,544
touchById,484,542
_GamepadMapRuntime_* (library),484,864
_GamepadMap_* (library),484,833
opt_setmembership,480,546
_TriggerResponse_* (library),480,687
parse_args,476,535
TextLayout,476,612
_glfwAndroidPlatformSwapBuffers,472,576
_grow_* (library),472,563
oggbyte_set4,472,557
oggbyte_read4,472,534
btSingleContactCallback,472,762
LZ4_loadDictHC,471,558
glfwCreateJoystickDeviceGuid,468,545
double,467,876
char,467,845
signed char,467,845
unsigned long long,467,828
bool,467,821
long,467,821
long long,467,821
unsigned long,467,821
wchar_t,467,821
__float128,467,797
__int128,467,797
float,467,797
int,467,797
long double,467,797
short,467,797
unsigned __int128,467,797
unsigned char,467,797
unsigned int,467,797
unsigned short,467,797
void,467,797
FontLoadFromMemoryTTF(),460,542
btDbvtTreeCollider,460,826
_clear_* (library),458,712
PointVariableCurveDistanceSquaredFromRoots(),456,605
_token_* (library),456,525
JobSystemDestroy,456,521
fpconv_strtod,456,518
_ContactPointEvent_* (library),456,667
_RequestRayCast_* (library),456,637
AddLayoutStyle(),452,552
FindCurveCrossingX(),452,543
glfwGetTouch,452,513
final_gl,452,509
operator new[](),450,748
_glfwAndroidGetSafeAreaInsets,448,526
[section .data],448,448
ParsePrivate(),444,546
_ip6_* (library),444,538
gola_fixup,444,503
_width_* (library),440,513
dmPoolAllocator,440,695
_ManifestFile_* (library),437,744
_SplinePoint_* (library),437,730
_HttpRequestProgress_* (library),434,713
_glfwPlatformInit,432,498
_SetConstantParticleFX_* (library),432,633
ProcessOneJob(),428,515
_push_* (library),428,489
ov_bitrate,427,510
ctoknames,424,530
_cur_* (library),424,489
_ConvexHull_* (library),424,888
b2ContactListener,424,1057
FontGetOutlineBounds(),420,519
_glfwPlatformTerminate,420,491
_StartRecord_* (library),420,876
_malloc_* (library),416,641
_FactoryDesc_* (library),414,952
_CollectionFactoryDesc_* (library),414,954
inet_pushresolved,412,526
meth_receivefrom,412,525
ResourceChunkCacheEvictPathHash(),412,518
_array_* (library),412,500
CreateGLSurface,412,476
_ComputeDesc_* (library),410,707
_ComponentPropertyDesc_* (library),410,718
_PrototypeDesc_* (library),410,710
_DrawDebugText_* (library),410,678
_free_* (library),410,635
_lookup_* (library),408,468
_ScriptMessage_* (library),408,629
_AnimationTrack_* (library),408,605
_Transform_* (library),408,591
_DrawLine_* (library),408,599
FontCollectionSetNamedStyleMarkup(),404,526
FontOutlineBoundsCubicTo(),404,525
_glfwAndroidPlatformOpenWindow,404,483
_struct_* (library),404,467
collect_fd,404,463
_dynamic_* (library),403,466
btVec3PointSegmentDist2(),400,497
searchpath,400,483
cp_errmsg,400,458
removeleaf(),396,505
_ctr_* (library),396,477
_index_* (library),396,459
_PlayAnimation_* (library),394,779
_aarch64_* (library),393,828
FontTrueTypeGetGlyphOutline(),392,502
meth_sendto,392,500
socket_sendto,392,478
_cstream_* (library),392,551
btConvexCast,392,1074
_Cue_* (library),391,746
_packet_* (library),391,530
glfwEnable,388,447
_PropertyDesc_* (library),388,758
socket_recvfrom,384,472
_glfwParseGLVersion,384,452
ConfigFileGetFloat,384,451
JobSystemCreateJob,384,451
expr_toreg,384,443
_SetViewProjection_* (library),384,601
_TriggerEvent_* (library),384,561
dmUtf8,384,666
_ResetConstant_* (library),384,744
meth_receive,376,485
dmStrError(),376,443
socket_send,376,436
_base_* (library),376,536
glfwExtensionSupported,372,443
ConfigFileGetInt,372,437
debug_localname,372,436
_mem_* (library),372,557
ConvertPolynomialToBernstein(),368,456
socket_connect,368,431
socket_recv,368,428
gc_mark,368,424
b2ContactFilter,364,705
_DisplayProfileQualifier_* (library),362,693
SetIntersectionSegmentBounds(),360,459
unwind_phase2,360,422
